"d3mIndex","EVENT_DATE","TIME_PRECISION","EVENT_TYPE","SUB_EVENT_TYPE","ACTOR1","ASSOC_ACTOR_1","INTER1","ACTOR2","ASSOC_ACTOR_2","INTER2","INTERACTION","REGION","ADMIN1","ADMIN2","ADMIN3","LOCATION","LATITUDE","LONGITUDE","GEO_PRECISION","SOURCE","SOURCE_SCALE","FATALITIES"
667,"2015-12-10",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","East Wellega","Amuru","Amuru",9.983,36.967,1,"Ethiopia Human Rights Project","Other",0
668,"2015-12-10",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","Horo Gudru Welega","Horo","Birbirsa Sekela",9.667,37.083,1,"Ethiopia Human Rights Project","Other",0
669,"2015-12-10",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","West Harerghe","Hawi Gudina","Darolebu",8.167,40.783,1,"Ethiopia Human Rights Project","Other",0
670,"2015-12-10",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","South West Shewa","Ameya","Gindo",8.583,37.683,1,"Ethiopia Human Rights Project","Other",0
671,"2015-12-10",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","Arsi","Robe","Robe",9.6,39.133,1,"Ethiopia Human Rights Project","Other",0
672,"2015-12-10",2,"Protests","Excessive force against protesters","Police Forces of Ethiopia (1995-2018)","",1,"Protesters (Ethiopia)","Students (Ethiopia); Civilians (Ethiopia); Oromo Ethnic Group (Ethiopia)",6,16,"Eastern Africa","Oromia","Arsi","Ziway Dugda","Ogolcho",8.039,39.016,2,"HRW","Other",0
673,"2015-12-10",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","East Wellega","Boneya Boshe","Eden Billo",8.9,37,1,"Ethiopia Human Rights Project","Other",0
674,"2015-12-10",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","East Shewa","Adami Tulu Jido Kombolcha","Ziway",7.933,38.717,1,"Ethiopia Human Rights Project","Other",0
675,"2015-12-10",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","North Shewa","Bereh","Sendafa",9.15,39.033,1,"Ethiopia Human Rights Project","Other",0
676,"2015-12-10",1,"Protests","Excessive force against protesters","Military Forces of Ethiopia (1995-2018)","",1,"Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,16,"Eastern Africa","Oromia","West Shewa","Cheliya","Babich",8.967,37.55,1,"HRW; Ethiopia Human Rights Project","Other",5
677,"2015-12-10",1,"Protests","Excessive force against protesters","Military Forces of Ethiopia (1995-2018)","",1,"Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,16,"Eastern Africa","Oromia","West Wellega","Gimbi","Inango",9.167,35.683,1,"HRW; Ethiopia Human Rights Project","Other",2
678,"2015-12-11",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","East Harerghe","Kurfa Chele","Dawe",9.262,41.861,1,"Ethiopia Human Rights Project","Other",0
679,"2015-12-11",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","Arsi","Dodola","Dodola",6.983,39.183,1,"Ethiopia Human Rights Project","Other",0
680,"2015-12-11",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","East Harerghe","Girawa","Gara Muleta",9.083,41.75,1,"Ethiopia Human Rights Project","Other",0
681,"2015-12-11",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","Jimma","Kersa","Jima",7.667,36.833,1,"Ethiopia Human Rights Project","Other",0
682,"2015-12-11",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Students (Ethiopia); Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","West Wellega","Mana Sibu","Mendi",9.8,35.1,1,"Ethiopia Human Rights Project","Other",0
683,"2015-12-11",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","West Harerghe","Mieso","Mieso",9.235,40.755,1,"Ethiopia Human Rights Project","Other",0
684,"2015-12-11",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","West Shewa","Toke Kutaye","Mutulu",8.883,37.75,1,"Ethiopia Human Rights Project","Other",0
685,"2015-12-11",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","West Shewa","Dano","Seyo",8.783,37.25,1,"Ethiopia Human Rights Project","Other",0
686,"2015-12-11",1,"Protests","Protest with intervention","Protesters (Ethiopia)","OFC: Oromo Federalist Congress",6,"Police Forces of Ethiopia (1995-2018)","",1,16,"Eastern Africa","Oromia","East Shewa","Adama","Nazreth",8.55,39.267,1,"Oromiya Media Network","International",0
687,"2015-12-11",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","Illubabor","Bedele","Bedele",8.456,36.353,1,"Ethiopia Human Rights Project","Other",0
688,"2015-12-11",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","South West Shewa","Wenchi","Chitu",8.609,37.923,1,"Ethiopia Human Rights Project","Other",0
689,"2015-12-11",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","West Shewa","Cheliya","Ejaji",9,37.317,1,"Ethiopia Human Rights Project","Other",0
690,"2015-12-11",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","Bale","Gasera","Gasera",7.367,40.217,2,"Ethiopia Human Rights Project","Other",0
691,"2015-12-11",1,"Protests","Excessive force against protesters","Police Forces of Ethiopia (1995-2018)","",1,"Protesters (Ethiopia)","Students (Ethiopia); Oromo Ethnic Group (Ethiopia)",6,16,"Eastern Africa","Oromia","Borena","Miyo","Hidilola",3.733,38.583,1,"HRW","Other",0
692,"2015-12-11",1,"Protests","Excessive force against protesters","Protesters (Ethiopia)","Students (Ethiopia); Oromo Ethnic Group (Ethiopia)",6,"Police Forces of Ethiopia (1995-2018)","",1,16,"Eastern Africa","Oromia","Arsi","Adaba","Adaba",7,39.4,1,"Oromiya Media Network; Daandii; HRW; Ethiopia Human Rights Project","Other-International",6
693,"2015-12-11",1,"Riots","Violent demonstration","Rioters (Ethiopia)","",5,"Police Forces of Ethiopia (1995-2018)","",1,15,"Eastern Africa","Oromia","South West Shewa","Ameya","Gindo",8.583,37.683,1,"Nazret; Ethiopia Human Rights Project","Other-National",0
694,"2015-12-11",1,"Protests","Excessive force against protesters","Protesters (Ethiopia)","Students (Ethiopia); Oromo Ethnic Group (Ethiopia)",6,"Police Forces of Ethiopia (1995-2018)","",1,16,"Eastern Africa","Amhara","East Gojam","Debre Elias","Abuna",10.1,37.217,1,"Oromiya Media Network","International",1
695,"2015-12-11",1,"Riots","Violent demonstration","Rioters (Ethiopia)","Students (Ethiopia); Oromo Ethnic Group (Ethiopia)",5,"Police Forces of Ethiopia (1995-2018)","",1,15,"Eastern Africa","Oromia","South West Shewa","Dawo","Weliso",8.733,38.067,1,"Oromiya Media Network","International",2
696,"2015-12-12",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Students (Ethiopia); Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Somali","Fafan","Jijiga","Jijiga",9.35,42.8,1,"Oromiya Media Network","International",0
697,"2015-12-12",1,"Explosions/Remote violence","Grenade","Unidentified Armed Group (Ethiopia)","",3,"Civilians (Ethiopia)","Muslim Group (Ethiopia)",7,37,"Eastern Africa","Addis Ababa","Addis Ababa","Addis Ketema","Addis Ketema",9.035,38.732,1,"AFP","International",0
698,"2015-12-12",1,"Protests","Excessive force against protesters","Military Forces of Ethiopia (1995-2018)","",1,"Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,16,"Eastern Africa","Oromia","East Wellega","Guto Gida","Nekemt",9.083,36.55,1,"Daandii; Ethiopia Human Rights Project","Other",1
699,"2015-12-12",1,"Protests","Excessive force against protesters","Military Forces of Ethiopia (1995-2018)","",1,"Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,16,"Eastern Africa","Oromia","West Shewa","Ambo Zuria","Ambo",8.983,37.85,2,"HRW; Ethiopia Human Rights Project","Other",2
700,"2015-12-12",1,"Protests","Excessive force against protesters","Military Forces of Ethiopia (1995-2018)","",1,"Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,16,"Eastern Africa","Oromia","South West Shewa","Wenchi","Chitu",8.609,37.923,2,"Daandii; HRW; Ethiopia Human Rights Project","Other",8
701,"2015-12-12",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","Arsi","Adaba","Adaba",7,39.4,2,"Ethiopia Human Rights Project","Other",0
702,"2015-12-12",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Students (Ethiopia); Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","Bale","Agarfa","Agarfa",7.283,39.817,1,"Ethiopia Human Rights Project","Other",0
703,"2015-12-12",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","West Harerghe","Mieso","Asabot",9.278,40.572,1,"Ethiopia Human Rights Project","Other",0
704,"2015-12-12",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","Arsi","Dodola","Dodola",6.983,39.183,1,"Ethiopia Human Rights Project","Other",0
705,"2015-12-12",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","Jimma","Kersa","Jima",7.667,36.833,1,"Ethiopia Human Rights Project","Other",0
706,"2015-12-12",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","East Harerghe","Kersa","Lange",9.438,41.778,1,"Ethiopia Human Rights Project","Other",0
707,"2015-12-12",1,"Protests","Excessive force against protesters","Military Forces of Ethiopia (1995-2018)","",1,"Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,16,"Eastern Africa","Oromia","West Shewa","Ambo Zuria","Ambo",8.983,37.85,1,"Ethiopia Human Rights Project","Other",3
708,"2015-12-12",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","Arsi","Robe","Robe",9.6,39.133,1,"Ethiopia Human Rights Project","Other",0
709,"2015-12-12",1,"Protests","Excessive force against protesters","Military Forces of Ethiopia (1995-2018)","",1,"Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,16,"Eastern Africa","Oromia","South West Shewa","Ameya","Gindo",8.583,37.683,1,"Ethiopia Human Rights Project","Other",2
710,"2015-12-13",1,"Protests","Excessive force against protesters","Protesters (Ethiopia)","Students (Ethiopia); Oromo Ethnic Group (Ethiopia)",6,"Police Forces of Ethiopia (1995-2018)","",1,16,"Eastern Africa","Oromia","South West Shewa","Waliso","Waliso",8.534,37.965,1,"Zehabesha","International",9
711,"2015-12-13",1,"Riots","Violent demonstration","Rioters (Ethiopia)","",5,"Police Forces of Ethiopia (1995-2018)","",1,15,"Eastern Africa","Oromia","South West Shewa","Ameya","Gindo",8.583,37.683,1,"Ethiopia Human Rights Project; Nazret","Other-National",0
712,"2015-12-13",1,"Violence against civilians","Attack","Police Forces of Ethiopia (1995-2018)","",1,"Civilians (Ethiopia)","Oromo Ethnic Group (Ethiopia)",7,17,"Eastern Africa","Oromia","South West Shewa","Ameya","Gindo",8.583,37.683,1,"Ethiopia Human Rights Project; Nazret","Other-National",1
713,"2015-12-13",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","West Shewa","Ambo Zuria","Ambo",8.983,37.85,2,"Ethiopia Human Rights Project","Other",0
714,"2015-12-13",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","South West Shewa","Kersana Malima","Lemen",8.483,38.433,1,"Ethiopia Human Rights Project","Other",0
715,"2015-12-13",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","West Shewa","Jeldu","Shikute",9.383,38.017,1,"Ethiopia Human Rights Project","Other",0
716,"2015-12-13",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","South West Shewa","Sodo Daci","Tere",8.533,38.617,1,"Ethiopia Human Rights Project","Other",0
717,"2015-12-13",1,"Protests","Excessive force against protesters","Military Forces of Ethiopia (1995-2018)","",1,"Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,16,"Eastern Africa","Oromia","South West Shewa","Ameya","Gindo",8.583,37.683,1,"Ethiopia Human Rights Project","Other",1
718,"2015-12-13",2,"Battles","Armed clash","Oromo Ethnic Militia (Ethiopia)","",4,"Amhara Ethnic Militia (Ethiopia)","",4,44,"Eastern Africa","Southern Nations","Konso","Konta","Ameya",7.083,36.667,1,"Nazret","National",5
719,"2015-12-13",1,"Protests","Excessive force against protesters","Military Forces of Ethiopia (1995-2018)","",1,"Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,16,"Eastern Africa","Oromia","West Shewa","Dendi","Ginchi",9.033,38.15,1,"Ethiopia Human Rights Project","Other",6
720,"2015-12-13",1,"Protests","Excessive force against protesters","Military Forces of Ethiopia (1995-2018)","",1,"Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,16,"Eastern Africa","Oromia","West Shewa","Ambo","Gojo",9.267,38.083,1,"HRW; Ethiopia Human Rights Project","Other",2
721,"2015-12-13",1,"Protests","Excessive force against protesters","Military Forces of Ethiopia (1995-2018)","",1,"Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,16,"Eastern Africa","Oromia","West Shewa","Toke Kutaye","Jeldu",9.017,37.667,1,"HRW; Ethiopia Human Rights Project; Daandii","Other",7
722,"2015-12-14",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","West Shewa","Ambo Zuria","Ambo",8.983,37.85,1,"Ethiopia Human Rights Project","Other",0
723,"2015-12-14",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","East Wellega","Jimma Arjo","Arjo",8.75,36.5,1,"Ethiopia Human Rights Project","Other",0
724,"2015-12-14",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","West Shewa","Cheliya","Babich",8.967,37.55,2,"Ethiopia Human Rights Project","Other",0
725,"2015-12-14",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","West Shewa","Bako Tibe","Bako Tibe",9,37.167,1,"Ethiopia Human Rights Project","Other",0
726,"2015-12-14",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Students (Ethiopia); Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","Arsi","Gololcha Arsi","Debre Selam",8.25,40.133,1,"Ethiopia Human Rights Project","Other",0
727,"2015-12-14",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","West Wellega","Sayo","Dembi Dolo",8.533,34.8,1,"Ethiopia Human Rights Project","Other",0
728,"2015-12-14",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","West Wellega","Nejo","Gidda",9.567,35.383,1,"Ethiopia Human Rights Project","Other",0
729,"2015-12-14",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","West Wellega","Lalo Kile","Lalo",8.917,35.35,1,"Ethiopia Human Rights Project","Other",0
730,"2015-12-14",1,"Protests","Excessive force against protesters","Military Forces of Ethiopia (1995-2018)","",1,"Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,16,"Eastern Africa","Oromia","West Shewa","Abuna G/Beret","Ginde Beret",9.5,37.833,2,"Ethiopia Human Rights Project","Other",5
731,"2015-12-14",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","West Shewa","Abuna G/Beret","Awara",9.567,38.033,2,"Ethiopia Human Rights Project","Other",0
732,"2015-12-14",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","West Shewa","Bako Tibe","Bako",9.133,37.05,1,"Ethiopia Human Rights Project","Other",0
733,"2015-12-14",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","Oromia-Finfinne","Burayu","Gefersa",9.067,38.667,1,"Ethiopia Human Rights Project","Other",0
734,"2015-12-14",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","South West Shewa","Ameya","Gindo",8.583,37.683,1,"Ethiopia Human Rights Project","Other",0
735,"2015-12-14",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","Horo Gudru Welega","Guduru","Kobbo",9.45,37.45,1,"Ethiopia Human Rights Project","Other",0
736,"2015-12-14",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","West Wellega","Mana Sibu","Mendi",9.8,35.1,1,"Ethiopia Human Rights Project","Other",0
737,"2015-12-14",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","West Wellega","Nejo","Nejo",9.5,35.5,2,"Ethiopia Human Rights Project","Other",0
738,"2015-12-14",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","Horo Gudru Welega","Horo","Shambu",9.567,37.1,2,"Ethiopia Human Rights Project","Other",0
739,"2015-12-14",1,"Protests","Excessive force against protesters","Military Forces of Ethiopia (1995-2018)","",1,"Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,16,"Eastern Africa","Oromia","South West Shewa","Wenchi","Chitu",8.609,37.923,1,"Ethiopia Human Rights Project","Other",1
740,"2015-12-14",1,"Protests","Excessive force against protesters","Military Forces of Ethiopia (1995-2018)","",1,"Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,16,"Eastern Africa","Oromia","South West Shewa","Waliso","Waliso",8.534,37.965,2,"HRW","Other",5
741,"2015-12-14",1,"Protests","Excessive force against protesters","Military Forces of Ethiopia (1995-2018)","",1,"Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,16,"Eastern Africa","Oromia","West Shewa","Toke Kutaye","Jeldu",9.017,37.667,1,"Ethiopia Human Rights Project; HRW","Other",5
742,"2015-12-14",1,"Protests","Excessive force against protesters","Military Forces of Ethiopia (1995-2018)","",1,"Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,16,"Eastern Africa","Oromia","South West Shewa","Dawo","Weliso",8.733,38.067,1,"HRW; Ethiopia Human Rights Project","Other",1
743,"2015-12-14",1,"Protests","Excessive force against protesters","Military Forces of Ethiopia (1995-2018)","",1,"Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,16,"Eastern Africa","Oromia","East Wellega","Guto Gida","Nekemt",9.083,36.55,2,"HRW","Other",1
744,"2015-12-15",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","West Wellega","Ayra","Ayra",9.1,35.4,1,"Ethiopia Human Rights Project","Other",0
745,"2015-12-15",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Students (Ethiopia); Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","East Harerghe","Haro Maya","Haramaya University",9.424,42.036,1,"Ethiopia Human Rights Project","Other",0
746,"2015-12-15",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","West Wellega","Anfillo","Mugi",8.483,34.583,1,"Ethiopia Human Rights Project","Other",0
747,"2015-12-15",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","Horo Gudru Welega","Horo","Shambu",9.567,37.1,2,"Ethiopia Human Rights Project","Other",0
748,"2015-12-15",1,"Protests","Excessive force against protesters","Military Forces of Ethiopia (1995-2018)","",1,"Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,16,"Eastern Africa","Oromia","West Wellega","Sayo","Dembi Dolo",8.533,34.8,1,"Ethiopia Human Rights Project","Other",1
749,"2015-12-15",1,"Protests","Excessive force against protesters","Military Forces of Ethiopia (1995-2018)","",1,"Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,16,"Eastern Africa","Oromia","North Shewa","Fiche","Galesa",9.9,38.567,1,"Ethiopia Human Rights Project","Other",5
750,"2015-12-15",1,"Protests","Excessive force against protesters","Military Forces of Ethiopia (1995-2018)","",1,"Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,16,"Eastern Africa","Oromia","West Shewa","Toke Kutaye","Jeldu",9.017,37.667,1,"HRW","Other",1
751,"2015-12-15",1,"Protests","Excessive force against protesters","Military Forces of Ethiopia (1995-2018)","",1,"Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,16,"Eastern Africa","Oromia","West Shewa","Dendi","Ginchi",9.033,38.15,2,"HRW; Daandii; Ethiopia Human Rights Project","Other",3
752,"2015-12-15",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","West Shewa","Adda Berga","Adda Berga",9.25,38.417,2,"Ethiopia Human Rights Project","Other",0
753,"2015-12-15",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Students (Ethiopia); Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","Arsi","Asela","Asela",7.95,39.133,1,"Ethiopia Human Rights Project","Other",0
754,"2015-12-15",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","East Wellega","Gudeya Bila","Bila",9.283,37.033,1,"Ethiopia Human Rights Project","Other",0
755,"2015-12-15",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","South West Shewa","Waliso","Dilila",8.633,38.05,1,"Ethiopia Human Rights Project","Other",0
756,"2015-12-15",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","West Wellega","Lalo Kile","Lalo",8.917,35.35,1,"Ethiopia Human Rights Project","Other",0
757,"2015-12-15",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","South West Shewa","Sodo Daci","Tere",8.533,38.617,1,"Ethiopia Human Rights Project","Other",0
758,"2015-12-15",1,"Protests","Excessive force against protesters","Military Forces of Ethiopia (1995-2018)","",1,"Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,16,"Eastern Africa","Oromia","West Wellega","Guliso","Guliso",9.167,35.467,2,"Ethiopia Human Rights Project","Other",1
759,"2015-12-15",1,"Protests","Excessive force against protesters","Military Forces of Ethiopia (1995-2018)","",1,"Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,16,"Eastern Africa","Oromia","South West Shewa","Waliso","Waliso",8.534,37.965,2,"HRW","Other",1
760,"2015-12-15",3,"Riots","Mob violence","Police Forces of Ethiopia (1995-2018)","",1,"Rioters (Ethiopia)","Students (Ethiopia); Oromo Ethnic Group (Ethiopia)",5,15,"Eastern Africa","Oromia","Arsi","Shashamane","Shashamane",7.2,38.6,2,"HRW","Other",3
761,"2015-12-16",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","West Harerghe","Mieso","Asabot",9.278,40.572,1,"Ethiopia Human Rights Project","Other",0
762,"2015-12-16",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","East Wellega","Gudeya Bila","Bila",9.283,37.033,1,"Ethiopia Human Rights Project","Other",0
763,"2015-12-16",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","East Harerghe","Kombolcha","Kombolcha",9.433,42.119,1,"Ethiopia Human Rights Project","Other",0
764,"2015-12-16",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Oromia","Illubabor","Metu","Metu",8.296,35.582,1,"Ethiopia Human Rights Project","Other",0
765,"2015-12-16",1,"Protests","Excessive force against protesters","Military Forces of Ethiopia (1995-2018)","",1,"Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,16,"Eastern Africa","Oromia","West Shewa","Cheliya","Ejaji",9,37.317,1,"Ethiopia Human Rights Project","Other",1
766,"2015-12-16",1,"Protests","Excessive force against protesters","Military Forces of Ethiopia (1995-2018)","",1,"Protesters (Ethiopia)","Oromo Ethnic Group (Ethiopia)",6,16,"Eastern Africa","Oromia","East Wellega","Goda Watiyo","Goda Watiyo",9.4,37.567,1,"Ethiopia Human Rights Project","Other",1
